# starting the propagation ...
# ... propagating a 6 x 6 matrix

0 0.0009994968 0.9883927533 0.0062310321 0.0040963562 0.0002701548 0.0000102067 1.0000000000 
1 0.0019979740 0.9762429507 0.0129023376 0.0082707717 0.0005448723 0.0000410937 1.0000000000 
2 0.0029954120 0.9635887347 0.0199838233 0.0125150457 0.0008239535 0.0000930308 1.0000000000 
3 0.0039917904 0.9504693595 0.0274443697 0.0168208707 0.0011072630 0.0001663467 1.0000000000 
4 0.0049870888 0.9369250114 0.0352519861 0.0211798647 0.0013947208 0.0002613282 1.0000000000 
5 0.0059812866 0.9229966314 0.0433739650 0.0255836025 0.0016862944 0.0003782200 1.0000000000 
6 0.0069743628 0.9087257381 0.0517770366 0.0300236482 0.0019819895 0.0005172247 1.0000000000 
7 0.0079662964 0.8941542537 0.0604275200 0.0344915857 0.0022818413 0.0006785029 1.0000000000 
8 0.0089570661 0.8793243324 0.0692914736 0.0389790496 0.0025859052 0.0008621731 1.0000000000 
9 0.0099466508 0.8642781927 0.0783348417 0.0434777551 0.0028942475 0.0010683121 1.0000000000 
10 0.0109350291 0.8490579535 0.0875235984 0.0479795265 0.0032069367 0.0012969558 1.0000000000 
11 0.0119221798 0.8337054747 0.0968238867 0.0524763254 0.0035240343 0.0015480991 1.0000000000 
12 0.0129080815 0.8182622029 0.1062021542 0.0569602772 0.0038455867 0.0018216976 1.0000000000 
13 0.0138927132 0.8027690229 0.1156252830 0.0614236964 0.0041716169 0.0021176676 1.0000000000 
14 0.0148760537 0.7872661153 0.1250607154 0.0658591103 0.0045021174 0.0024358878 1.0000000000 
15 0.0158580823 0.7717928199 0.1344765727 0.0702592816 0.0048370435 0.0027762000 1.0000000000 
16 0.0168387783 0.7563875062 0.1438417690 0.0746172289 0.0051763073 0.0031384102 1.0000000000 
17 0.0178181212 0.7410874518 0.1531261181 0.0789262458 0.0055197724 0.0035222907 1.0000000000 
18 0.0187960908 0.7259287265 0.1623004342 0.0831799181 0.0058672500 0.0039275804 1.0000000000 
19 0.0197726673 0.7109460859 0.1713366250 0.0873721392 0.0062184952 0.0043539874 1.0000000000 
20 0.0207478310 0.6961728714 0.1802077789 0.0914971241 0.0065732049 0.0048011897 1.0000000000 
21 0.0217215629 0.6816409195 0.1888882436 0.0955494204 0.0069310162 0.0052688374 1.0000000000 
22 0.0226938440 0.6673804782 0.1973536987 0.0995239189 0.0072915060 0.0057565542 1.0000000000 
23 0.0236646560 0.6534201325 0.2055812197 0.1034158612 0.0076541915 0.0062639390 1.0000000000 
24 0.0246339809 0.6397867383 0.2135493351 0.1072208461 0.0080185317 0.0067905678 1.0000000000 
25 0.0256018012 0.6265053639 0.2212380757 0.1109348336 0.0083839298 0.0073359957 1.0000000000 
