# hamiltonian size, 	naive python [s], 	vectorized python [s]
2		4.07		1.25
3		11.88		3.44
4		27.84		7.85
5		54.81		16.60
6		106.04		31.25
7		177.83		55.16
8		291.86		89.20
9		447.34		144.33
10		670.36		220.71
11		998.64		337.14
12		1434.93		498.01	
13		1982.69		715.46
14		2714.49		1009.59
15		3785.15		1419.30
16		5041.61		1926.74
